[10/May/2023:21:32:53 +0000] - 200 200 - GET http nginxproxymanager.local "/" [Client 172.25.0.1] [Length 752] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "-"
[10/May/2023:21:32:53 +0000] - 304 304 - GET http nginxproxymanager.local "/css/main.css?v=2.10.2" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[10/May/2023:21:32:53 +0000] - 200 200 - GET http nginxproxymanager.local "/js/main.bundle.js?v=2.10.2" [Client 172.25.0.1] [Length 619431] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[10/May/2023:21:32:53 +0000] - 304 304 - GET http nginxproxymanager.local "/images/favicons/favicon.ico" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[10/May/2023:21:32:53 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[10/May/2023:21:32:53 +0000] - 500 500 - GET http nginxproxymanager.local "/api/tokens" [Client 172.25.0.1] [Length 38] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[10/May/2023:21:32:53 +0000] - 304 304 - GET http nginxproxymanager.local "/login" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[10/May/2023:21:32:53 +0000] - 304 304 - GET http nginxproxymanager.local "/js/login.bundle.js?v=2.10.2" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/login"
[10/May/2023:21:32:53 +0000] - 304 304 - GET http nginxproxymanager.local "/images/logo-text-vertical-grey.png" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/login"
[10/May/2023:21:32:53 +0000] - 304 304 - GET http nginxproxymanager.local "/assets/source-sans-pro-v14-latin-ext_latin-regular.woff2" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/css/main.css?v=2.10.2"
[10/May/2023:21:32:53 +0000] - 304 304 - GET http nginxproxymanager.local "/assets/source-sans-pro-v14-latin-ext_latin-700.woff2" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/css/main.css?v=2.10.2"
[12/May/2023:08:28:30 +0000] - 304 304 - GET http nginxproxymanager.local "/login" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
