[12/May/2023:08:42:44 +0000] - 403 403 - GET http jenkins-dsk.local "/" [Client 172.25.0.1] [Length 215] [Gzip 2.65] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[12/May/2023:08:42:44 +0000] - 200 200 - GET http jenkins-dsk.local "/login?from=%2F" [Client 172.25.0.1] [Length 713] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:44 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/images/svgs/logo.svg" [Client 172.25.0.1] [Length 29819] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/login?from=%2F"
[12/May/2023:08:42:44 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/jsbundles/simple-page.css" [Client 172.25.0.1] [Length 8962] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/login?from=%2F"
[12/May/2023:08:42:44 +0000] - 304 304 - GET http jenkins-dsk.local "/favicon.ico" [Client 172.25.0.1] [Length 0] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/login?from=%2F"
[12/May/2023:08:42:48 +0000] - 302 302 - POST http jenkins-dsk.local "/j_spring_security_check" [Client 172.25.0.1] [Length 5] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/login?from=%2F"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/" [Client 172.25.0.1] [Length 13596] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/login?from=%2F"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/behavior.js" [Client 172.25.0.1] [Length 2404] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/yui/yahoo/yahoo-min.js" [Client 172.25.0.1] [Length 3038] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/scripts/yui/container/assets/skins/sam/container.css" [Client 172.25.0.1] [Length 1277] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
[12/May/2023:08:42:49 +0000] - 200 200 - GET http jenkins-dsk.local "/static/3d816523/css/responsive-grid.css" [Client 172.25.0.1] [Length 3610] [Gzip -] [Sent-to jenkins-blueocean] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://jenkins-dsk.local/"
