[28/Apr/2023:13:18:41 +0000] - 200 200 - GET http nginxproxymanager.local "/" [Client 172.25.0.1] [Length 752] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://localhost:81/"
[28/Apr/2023:13:18:41 +0000] - 200 200 - GET http nginxproxymanager.local "/css/main.css?v=2.10.2" [Client 172.25.0.1] [Length 305815] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:18:41 +0000] - 200 200 - GET http nginxproxymanager.local "/js/main.bundle.js?v=2.10.2" [Client 172.25.0.1] [Length 619431] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:18:41 +0000] - 200 200 - GET http nginxproxymanager.local "/images/favicons/favicon.ico" [Client 172.25.0.1] [Length 15086] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:18:41 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:18:41 +0000] - 401 401 - GET http nginxproxymanager.local "/api/tokens" [Client 172.25.0.1] [Length 46] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:18:41 +0000] - 200 200 - GET http nginxproxymanager.local "/login" [Client 172.25.0.1] [Length 776] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:18:41 +0000] - 200 200 - GET http nginxproxymanager.local "/js/login.bundle.js?v=2.10.2" [Client 172.25.0.1] [Length 214763] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/login"
[28/Apr/2023:13:18:42 +0000] - 200 200 - GET http nginxproxymanager.local "/images/logo-text-vertical-grey.png" [Client 172.25.0.1] [Length 14281] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/login"
[28/Apr/2023:13:18:42 +0000] - 200 200 - GET http nginxproxymanager.local "/assets/source-sans-pro-v14-latin-ext_latin-regular.woff2" [Client 172.25.0.1] [Length 25656] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/css/main.css?v=2.10.2"
[28/Apr/2023:13:18:42 +0000] - 200 200 - GET http nginxproxymanager.local "/assets/source-sans-pro-v14-latin-ext_latin-700.woff2" [Client 172.25.0.1] [Length 25348] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/css/main.css?v=2.10.2"
[28/Apr/2023:13:25:49 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:25:49 +0000] - 401 401 - GET http nginxproxymanager.local "/api/tokens" [Client 172.25.0.1] [Length 46] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
[28/Apr/2023:13:26:43 +0000] - 200 200 - POST http nginxproxymanager.local "/api/tokens" [Client 172.25.0.1] [Length 593] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/login"
[28/Apr/2023:13:26:43 +0000] - 200 200 - GET http nginxproxymanager.local "/api/" [Client 172.25.0.1] [Length 61] [Gzip -] [Sent-to nginx-proxy-manager] "Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36" "http://nginxproxymanager.local/"
