2023.05.12 08:27:54 WARN  es[][o.e.t.ThreadPool] timer thread slept for [12h/43234463ms] on absolute clock which is above the warn threshold of [5000ms]
2023.05.12 12:07:19 WARN  es[][o.e.t.ThreadPool] timer thread slept for [1.6h/5814091ms] on absolute clock which is above the warn threshold of [5000ms]
2023.05.12 14:25:33 INFO  es[][o.e.n.Node] stopping ...
2023.05.12 14:25:33 INFO  es[][o.e.n.Node] stopped
2023.05.12 14:25:33 INFO  es[][o.e.n.Node] closing ...
2023.05.12 14:25:33 INFO  es[][o.e.n.Node] closed
2023.05.12 15:11:13 INFO  es[][o.e.n.Node] version[7.17.8], pid[26], build[default/tar/120eabe1c8a0cb2ae87cffc109a5b65d213e9df1/2022-12-02T17:33:09.727072865Z], OS[Linux/5.15.0-71-generic/amd64], JVM[Eclipse Adoptium/OpenJDK 64-Bit Server VM/17.0.7/17.0.7+7]
2023.05.12 15:11:13 INFO  es[][o.e.n.Node] JVM home [/opt/java/openjdk]
2023.05.12 15:11:13 INFO  es[][o.e.n.Node] JVM arguments [-XX:+UseG1GC, -Djava.io.tmpdir=/opt/sonarqube/temp, -XX:ErrorFile=/opt/sonarqube/logs/es_hs_err_pid%p.log, -Des.networkaddress.cache.ttl=60, -Des.networkaddress.cache.negative.ttl=10, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djna.tmpdir=/opt/sonarqube/temp, -XX:-OmitStackTraceInFastThrow, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dio.netty.allocator.numDirectArenas=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j2.formatMsgNoLookups=true, -Djava.locale.providers=COMPAT, -Dcom.redhat.fips=false, -Xmx512m, -Xms512m, -XX:MaxDirectMemorySize=256m, -XX:+HeapDumpOnOutOfMemoryError, -Des.path.home=/opt/sonarqube/elasticsearch, -Des.path.conf=/opt/sonarqube/temp/conf/es, -Des.distribution.flavor=default, -Des.distribution.type=tar, -Des.bundled_jdk=false]
2023.05.12 15:11:14 INFO  es[][o.e.p.PluginsService] loaded module [analysis-common]
2023.05.12 15:11:14 INFO  es[][o.e.p.PluginsService] loaded module [lang-painless]
2023.05.12 15:11:14 INFO  es[][o.e.p.PluginsService] loaded module [parent-join]
2023.05.12 15:11:14 INFO  es[][o.e.p.PluginsService] loaded module [reindex]
2023.05.12 15:11:14 INFO  es[][o.e.p.PluginsService] loaded module [transport-netty4]
2023.05.12 15:11:14 INFO  es[][o.e.p.PluginsService] no plugins loaded
2023.05.12 15:11:14 INFO  es[][o.e.e.NodeEnvironment] using [1] data paths, mounts [[/opt/sonarqube/data (/dev/nvme0n1p7)]], net usable_space [52.5gb], net total_space [228.6gb], types [ext4]
2023.05.12 15:11:14 INFO  es[][o.e.e.NodeEnvironment] heap size [512mb], compressed ordinary object pointers [true]
2023.05.12 15:11:14 INFO  es[][o.e.n.Node] node name [sonarqube], node ID [WktDxTcSRMCr6QQQ_fodfw], cluster name [sonarqube], roles [data_frozen, master, remote_cluster_client, data, data_content, data_hot, data_warm, data_cold, ingest]
